"parameter","method","coverage","bias","MSE"
"DTE..56","TWFE.ever.adopted",0.956,1.75197229997579e-05,2.27894053751773e-05
"DTE..57","group.time.ATT",0.993,0.000221893626836407,1.1962191800675e-05
"DTE..57","group.time.ATT.ever.adopted",0.996,8.79114870385728e-05,1.79450833069022e-05
"DTE..57","TWFE",0.953,1.37440100622142e-05,2.31877200220786e-05
"DTE..57","TWFE.ever.adopted",0.953,1.37440100622142e-05,2.31877200220786e-05
"DTE..58","group.time.ATT",0.991,-0.000104694586215094,1.19697005746833e-05
"DTE..58","group.time.ATT.ever.adopted",0.992,-6.66145044521469e-05,1.67820421635879e-05
"DTE..58","TWFE",0.957,-9.02344746025345e-05,2.43555380596487e-05
"DTE..58","TWFE.ever.adopted",0.957,-9.02344746025345e-05,2.43555380596487e-05
"DTE..59","group.time.ATT",0.996,1.76291310844633e-05,1.20149458352413e-05
"DTE..59","group.time.ATT.ever.adopted",0.989,-8.46775345052926e-05,1.79054814887311e-05
"DTE..59","TWFE",0.949,1.57035403270004e-06,2.60760138048124e-05
"DTE..59","TWFE.ever.adopted",0.949,1.57035403270004e-06,2.60760138048124e-05
"DTE..6","group.time.ATT",0.997,-1.24789727544661e-05,5.82041025183826e-06
"DTE..6","group.time.ATT.ever.adopted",0.988,0.000133880761379026,1.16195589087198e-05
"DTE..6","TWFE",0.954,0.000128552057621654,2.12933097743326e-05
"DTE..6","TWFE.ever.adopted",0.954,0.000128552057621654,2.12933097743326e-05
"DTE..60","group.time.ATT",0.996,-1.51679086672559e-05,1.06193128215064e-05
"DTE..60","group.time.ATT.ever.adopted",0.995,-0.000103908192224598,1.73846003701986e-05
"DTE..60","TWFE",0.959,0.000147798113118059,2.47013522414018e-05
"DTE..60","TWFE.ever.adopted",0.959,0.000147798113118059,2.47013522414018e-05
"DTE..61","group.time.ATT",0.995,4.87391822967242e-05,1.18716132666704e-05
"DTE..61","group.time.ATT.ever.adopted",0.988,-9.24947571119842e-06,1.79192935544469e-05
"DTE..61","TWFE",0.958,8.07599812389694e-05,2.48982972466621e-05
"DTE..61","TWFE.ever.adopted",0.958,8.07599812389694e-05,2.48982972466621e-05
"DTE..62","group.time.ATT",0.993,7.88062752641383e-06,1.26705293059463e-05
"DTE..62","group.time.ATT.ever.adopted",0.99,0.000238873849794061,1.85027086330139e-05
"DTE..62","TWFE",0.938,0.000153528556830051,2.70724036766701e-05
"DTE..62","TWFE.ever.adopted",0.938,0.000153528556830051,2.70724036766701e-05
"DTE..63","group.time.ATT",0.998,-3.9876468246505e-05,1.23919701229806e-05
"DTE..63","group.time.ATT.ever.adopted",0.988,-7.87718250576466e-05,1.83320536318415e-05
"DTE..63","TWFE",0.952,-2.945188901631e-05,2.55546005005587e-05
"DTE..63","TWFE.ever.adopted",0.952,-2.945188901631e-05,2.55546005005587e-05
"DTE..64","group.time.ATT",0.985,0.000200651247942136,3.35300753117656e-05
"DTE..64","TWFE",0.945,1.51167417957475e-06,1.813680463323e-05
"DTE..64","TWFE.ever.adopted",0.945,1.51167417957475e-06,1.813680463323e-05
"DTE..65","group.time.ATT",0.987,-0.000362724407543831,3.39180162464494e-05
"DTE..65","TWFE",0.957,-0.000135044089348429,3.5600277562009e-05
"DTE..65","TWFE.ever.adopted",0.957,-0.000135044089348429,3.5600277562009e-05
"DTE..66","group.time.ATT",0.984,0.000383061371184762,3.24611317960865e-05
"DTE..66","TWFE",0.954,0.000210654658639662,3.78792476098259e-05
"DTE..66","TWFE.ever.adopted",0.954,0.000210654658639662,3.78792476098259e-05
"DTE..67","group.time.ATT",0.984,-0.000156547031762937,3.04520007235426e-05
"DTE..67","TWFE",0.952,6.73076472476186e-05,3.73007453121275e-05
"DTE..67","TWFE.ever.adopted",0.952,6.73076472476186e-05,3.73007453121275e-05
"DTE..68","group.time.ATT",0.983,0.000412750985486387,3.28861040658878e-05
"DTE..68","TWFE",0.96,9.86926348222238e-05,3.67712114013998e-05
"DTE..68","TWFE.ever.adopted",0.96,9.86926348222238e-05,3.67712114013998e-05
"DTE..69","group.time.ATT",0.982,-0.000383114861880374,3.48309751986842e-05
"DTE..69","TWFE",0.956,-0.000156268736722092,3.79571467187368e-05
"DTE..69","TWFE.ever.adopted",0.956,-0.000156268736722092,3.79571467187368e-05
"DTE..7","group.time.ATT",0.996,0.00010225098824433,5.63553027962415e-06
"DTE..7","group.time.ATT.ever.adopted",0.997,6.84179799514605e-05,1.0435043579106e-05
"DTE..7","TWFE",0.959,8.84512328152215e-05,2.12553630472717e-05
"DTE..7","TWFE.ever.adopted",0.959,8.84512328152215e-05,2.12553630472717e-05
"DTE..70","group.time.ATT",0.979,6.88829668772839e-05,3.39245788808263e-05
"DTE..70","TWFE",0.956,8.60542897179698e-06,3.55668280386489e-05
"DTE..70","TWFE.ever.adopted",0.956,8.60542897179698e-06,3.55668280386489e-05
"DTE..8","group.time.ATT",0.998,-0.000114626703861591,5.29629709405741e-06
"DTE..8","group.time.ATT.ever.adopted",0.997,-0.000239002399318498,1.13134003827442e-05
"DTE..8","TWFE",0.961,-2.32799762077694e-05,1.88677574135943e-05
"DTE..8","TWFE.ever.adopted",0.961,-2.32799762077694e-05,1.88677574135943e-05
"DTE..9","group.time.ATT",0.996,4.89437756327144e-05,5.34254087633008e-06
"DTE..9","group.time.ATT.ever.adopted",0.996,0.000227254379295483,1.10563708245862e-05
"DTE..9","TWFE",0.955,9.4483138982103e-05,2.16183925539423e-05
"DTE..9","TWFE.ever.adopted",0.955,9.4483138982103e-05,2.16183925539423e-05
"DTE.0","group.time.ATT",0.995,-9.35489563947431e-05,5.63358526674392e-06
"DTE.0","group.time.ATT.ever.adopted",0.993,-2.2860691339703e-05,1.15106952328972e-05
"DTE.0","TWFE",0.949,8.00446180815513e-05,2.12450985849818e-05
"DTE.0","TWFE.ever.adopted",0.949,8.00446180815513e-05,2.12450985849818e-05
"DTE.1","group.time.ATT",0.994,1.45769519891195e-05,6.59629784627841e-06
"DTE.1","group.time.ATT.ever.adopted",0.99,1.68990252223579e-05,1.13846842411213e-05
"DTE.1","TWFE",0.961,5.40096015125846e-05,2.35181136809869e-05
"DTE.1","TWFE.ever.adopted",0.961,5.40096015125846e-05,2.35181136809869e-05
"DTE.10","group.time.ATT",0.991,-5.97486415171751e-05,1.10583563686136e-05
"DTE.10","group.time.ATT.ever.adopted",0.989,4.29579443527387e-05,1.22765023655608e-05
"DTE.10","TWFE",0.947,8.60584621840426e-05,2.78489809357771e-05
"DTE.10","TWFE.ever.adopted",0.947,8.60584621840426e-05,2.78489809357771e-05
"DTE.11","group.time.ATT",0.991,-0.000135317551709416,9.76270928190268e-06
"DTE.11","group.time.ATT.ever.adopted",0.995,-8.25329222940858e-05,1.07032212098748e-05
"DTE.11","TWFE",0.951,6.52174253728875e-05,2.73954215416962e-05
"DTE.11","TWFE.ever.adopted",0.951,6.52174253728875e-05,2.73954215416962e-05
"DTE.12","group.time.ATT",0.992,-9.20519019488546e-05,1.03299232175621e-05
"DTE.12","group.time.ATT.ever.adopted",0.995,-2.04379294213258e-05,1.12610701012291e-05
"DTE.12","TWFE",0.948,2.56697163661991e-05,2.89532572977963e-05
"DTE.12","TWFE.ever.adopted",0.948,2.56697163661991e-05,2.89532572977963e-05
"DTE.13","group.time.ATT",0.994,-0.000104511917527308,1.04435589234097e-05
"DTE.13","group.time.ATT.ever.adopted",0.997,-1.58580306546358e-05,1.43799063804735e-05
"DTE.13","TWFE",0.957,9.12713795349307e-05,2.66434416960537e-05
"DTE.13","TWFE.ever.adopted",0.957,9.12713795349307e-05,2.66434416960537e-05
"DTE.14","group.time.ATT",0.997,-0.000140909881989155,9.77305383128881e-06
"DTE.14","group.time.ATT.ever.adopted",0.991,-3.00690109088692e-05,1.38217668875837e-05
"DTE.14","TWFE",0.949,1.23564414825873e-05,2.89094248188073e-05
"DTE.14","TWFE.ever.adopted",0.949,1.23564414825873e-05,2.89094248188073e-05
"DTE.15","group.time.ATT",0.995,-3.76431442625107e-05,9.61341563618325e-06
"DTE.15","group.time.ATT.ever.adopted",0.995,0.000188357815202062,1.5334056913364e-05
"DTE.15","TWFE",0.941,0.000236358418161999,2.88803960301145e-05
"DTE.15","TWFE.ever.adopted",0.941,0.000236358418161999,2.88803960301145e-05
"DTE.16","group.time.ATT",0.993,-7.26540627337597e-05,1.06736286652447e-05
"DTE.16","group.time.ATT.ever.adopted",0.99,0.000122034886975994,1.58356484036987e-05
"DTE.16","TWFE",0.952,0.000141130487251367,2.9472009147677e-05
"DTE.16","TWFE.ever.adopted",0.952,0.000141130487251367,2.9472009147677e-05
"DTE.17","group.time.ATT",0.996,-0.000117167889073487,1.04603160840549e-05
"DTE.17","group.time.ATT.ever.adopted",0.993,-1.93220771034244e-06,1.59819397105198e-05
"DTE.17","TWFE",0.957,0.000124315649745837,2.88716724931069e-05
"DTE.17","TWFE.ever.adopted",0.957,0.000124315649745837,2.88716724931069e-05
"DTE.18","group.time.ATT",0.993,8.63110733519212e-07,1.03708254769163e-05
"DTE.18","group.time.ATT.ever.adopted",0.994,6.60733766162698e-05,1.42666626223731e-05
"DTE.18","TWFE",0.948,0.000153271649883782,2.94824085719532e-05
"DTE.18","TWFE.ever.adopted",0.948,0.000153271649883782,2.94824085719532e-05
"DTE.19","group.time.ATT",0.997,4.15714330792975e-05,1.05690483888608e-05
"DTE.19","group.time.ATT.ever.adopted",0.992,7.51044577561707e-05,1.5332901446592e-05
"DTE.19","TWFE",0.952,0.000203381115299619,3.08492454702369e-05
"DTE.19","TWFE.ever.adopted",0.952,0.000203381115299619,3.08492454702369e-05
"DTE.2","group.time.ATT",0.998,-0.000100496743265345,6.32900223100106e-06
"DTE.2","group.time.ATT.ever.adopted",0.993,5.28510929799038e-05,1.14264776135356e-05
"DTE.2","TWFE",0.957,0.000136395722995114,2.37356419009848e-05
"DTE.2","TWFE.ever.adopted",0.957,0.000136395722995114,2.37356419009848e-05
"DTE.20","group.time.ATT",0.995,-0.000163804642628475,1.01721459311885e-05
"DTE.20","group.time.ATT.ever.adopted",0.995,6.15930520579965e-05,2.20695978296457e-05
"DTE.20","TWFE",0.961,3.71726787588668e-05,2.07077648108006e-05
"DTE.20","TWFE.ever.adopted",0.961,3.71726787588668e-05,2.07077648108006e-05
"DTE.21","group.time.ATT",0.992,-0.00022154703851209,2.01105234407001e-05
"DTE.21","group.time.ATT.ever.adopted",0.99,-7.6413549757836e-05,2.47876171216579e-05
"DTE.21","TWFE",0.951,2.20008543783796e-05,3.42589604147945e-05
"DTE.21","TWFE.ever.adopted",0.951,2.20008543783796e-05,3.42589604147945e-05
"DTE.22","group.time.ATT",0.993,-0.000167234964981079,2.1225090310159e-05
"DTE.22","group.time.ATT.ever.adopted",0.998,4.29706638737002e-06,2.38065162214374e-05
"DTE.22","TWFE",0.953,0.000127582163965508,3.20719696655107e-05
"DTE.22","TWFE.ever.adopted",0.953,0.000127582163965508,3.20719696655107e-05
"DTE.23","group.time.ATT",0.994,-0.000202342446317278,2.08965288566352e-05
"DTE.23","group.time.ATT.ever.adopted",0.989,-5.51504879694034e-05,2.52126813302661e-05
"DTE.23","TWFE",0.953,-1.79222712586317e-05,3.63735044331519e-05
"DTE.23","TWFE.ever.adopted",0.953,-1.79222712586317e-05,3.63735044331519e-05
"DTE.24","group.time.ATT",0.994,7.05351842474581e-06,2.15431576481263e-05
"DTE.24","group.time.ATT.ever.adopted",0.995,0.000172700278532256,2.44565341833889e-05
"DTE.24","TWFE",0.954,0.000306844719176331,3.82365828526682e-05
"DTE.24","TWFE.ever.adopted",0.954,0.000306844719176331,3.82365828526682e-05
"DTE.25","group.time.ATT",0.993,-0.000337998184420121,2.04000593689918e-05
"DTE.25","group.time.ATT.ever.adopted",0.991,-0.000165327999701212,2.42598590500389e-05
"DTE.25","TWFE",0.952,-0.000124755848986334,3.71318395987568e-05
"DTE.25","TWFE.ever.adopted",0.952,-0.000124755848986334,3.71318395987568e-05
"DTE.26","group.time.ATT",0.986,-0.000109869362168141,2.18752139748948e-05
"DTE.26","group.time.ATT.ever.adopted",0.991,-0.000109569280653137,2.61409219237895e-05
"DTE.26","TWFE",0.948,4.64094775117379e-05,3.98935105506527e-05
"DTE.26","TWFE.ever.adopted",0.948,4.64094775117379e-05,3.98935105506527e-05
"DTE.27","group.time.ATT",0.994,1.67074158569047e-05,2.25866570565693e-05
"DTE.27","group.time.ATT.ever.adopted",0.982,0.000196005747330654,2.5470008393319e-05
"DTE.27","TWFE",0.952,0.000221992829394604,3.69408588999873e-05
"DTE.27","TWFE.ever.adopted",0.952,0.000221992829394604,3.69408588999873e-05
"DTE.28","group.time.ATT",0.993,-0.000192689939411157,2.12456799158755e-05
"DTE.28","group.time.ATT.ever.adopted",0.985,-2.72453493725845e-05,4.31479619021328e-05
"DTE.28","TWFE",0.939,0.000154033166981725,3.6555121068553e-05
"DTE.28","TWFE.ever.adopted",0.939,0.000154033166981725,3.6555121068553e-05
"DTE.29","group.time.ATT",0.991,0.000129558237190729,2.07406930970439e-05
"DTE.29","group.time.ATT.ever.adopted",0.985,0.000263603432340712,3.97511853061012e-05
"DTE.29","TWFE",0.951,0.000303433354612086,3.69460172090848e-05
"DTE.29","TWFE.ever.adopted",0.951,0.000303433354612086,3.69460172090848e-05
"DTE.3","group.time.ATT",0.993,7.68846065936956e-06,6.97744293217941e-06
"DTE.3","group.time.ATT.ever.adopted",0.989,7.93759962407266e-05,1.15265200905149e-05
"DTE.3","TWFE",0.956,0.000174290913522999,2.42232434780085e-05
"DTE.3","TWFE.ever.adopted",0.956,0.000174290913522999,2.42232434780085e-05
"DTE.30","group.time.ATT",0.992,-0.000188834988187791,1.9601293798548e-05
"DTE.30","group.time.ATT.ever.adopted",0.987,5.16949714918197e-05,4.15493268138225e-05
"DTE.30","TWFE",0.943,0.000166131905289083,3.93442206804551e-05
"DTE.30","TWFE.ever.adopted",0.943,0.000166131905289083,3.93442206804551e-05
"DTE.31","group.time.ATT",0.992,-0.000101445047252625,2.23079615014226e-05
"DTE.31","group.time.ATT.ever.adopted",0.982,0.000111968768340281,4.42799957078101e-05
"DTE.31","TWFE",0.954,0.000254223371368609,3.82677912590411e-05
"DTE.31","TWFE.ever.adopted",0.954,0.000254223371368609,3.82677912590411e-05
"DTE.32","group.time.ATT",0.992,-0.000100211989033684,2.12694045510343e-05
"DTE.32","group.time.ATT.ever.adopted",0.978,-8.20149390275651e-05,4.14845981453954e-05
"DTE.32","TWFE",0.961,0.000121250756192556,3.79111499148499e-05
"DTE.32","TWFE.ever.adopted",0.961,0.000121250756192556,3.79111499148499e-05
"DTE.33","group.time.ATT",0.994,-1.4371726463348e-06,2.0872860807948e-05
"DTE.33","group.time.ATT.ever.adopted",0.983,-1.62341388221646e-05,3.9695920946832e-05
"DTE.33","TWFE",0.957,0.000122763544144497,3.87546226158009e-05
"DTE.33","TWFE.ever.adopted",0.957,0.000122763544144497,3.87546226158009e-05
"DTE.34","group.time.ATT",0.989,-4.22445199080224e-05,2.12186919798307e-05
"DTE.34","group.time.ATT.ever.adopted",0.983,-5.88550250430788e-05,4.41031019580009e-05
"DTE.34","TWFE",0.949,0.000186175799346126,4.18253197514874e-05
"DTE.34","TWFE.ever.adopted",0.949,0.000186175799346126,4.18253197514874e-05
"DTE.35","group.time.ATT",0.993,-0.000174341802112046,2.14600353450597e-05
"DTE.35","TWFE",0.95,6.73740747810479e-05,2.36035502425881e-05
"DTE.35","TWFE.ever.adopted",0.95,6.73740747810479e-05,2.36035502425881e-05
"DTE.4","group.time.ATT",0.996,-6.70891955729758e-05,6.53135212950632e-06
"DTE.4","group.time.ATT.ever.adopted",0.997,-8.48483737796811e-05,1.11142133251631e-05
"DTE.4","TWFE",0.944,1.99069845457017e-05,2.51088158505549e-05
"DTE.4","TWFE.ever.adopted",0.944,1.99069845457017e-05,2.51088158505549e-05
"DTE.5","group.time.ATT",0.996,-6.21419757153421e-05,6.37047455753189e-06
"DTE.5","group.time.ATT.ever.adopted",0.995,-5.37755014260264e-05,1.05351988273093e-05
"DTE.5","TWFE",0.963,1.08480379178416e-05,2.23962366789246e-05
"DTE.5","TWFE.ever.adopted",0.963,1.08480379178416e-05,2.23962366789246e-05
"DTE.6","group.time.ATT",0.998,-2.46873854704362e-05,6.50821572067388e-06
"DTE.6","group.time.ATT.ever.adopted",0.991,-1.94416923958807e-06,1.09280254967265e-05
"DTE.6","TWFE",0.947,0.000127530406086829,2.59612380201725e-05
"DTE.6","TWFE.ever.adopted",0.947,0.000127530406086829,2.59612380201725e-05
"DTE.7","group.time.ATT",0.997,-0.000105023074413738,6.97761941205853e-06
"DTE.7","group.time.ATT.ever.adopted",0.992,-1.97966277893757e-05,1.11761581997114e-05
"DTE.7","TWFE",0.946,6.83614561898041e-05,1.90767471818801e-05
"DTE.7","TWFE.ever.adopted",0.946,6.83614561898041e-05,1.90767471818801e-05
"DTE.8","group.time.ATT",0.996,-2.29573411640609e-05,1.08928055687072e-05
"DTE.8","group.time.ATT.ever.adopted",0.989,3.52677900034352e-05,1.1711545922194e-05
"DTE.8","TWFE",0.956,0.00011996220480902,2.70683656655061e-05
"DTE.8","TWFE.ever.adopted",0.956,0.00011996220480902,2.70683656655061e-05
"DTE.9","group.time.ATT",0.992,-0.000108272714944606,1.0763084493629e-05
"DTE.9","group.time.ATT.ever.adopted",0.995,9.90122722260431e-05,1.09099273899609e-05
"DTE.9","TWFE",0.947,0.000222972187911091,2.784657448809e-05
"DTE.9","TWFE.ever.adopted",0.947,0.000222972187911091,2.784657448809e-05
"DTE.avg","group.time.ATT",0.949,-7.70598434719931e-05,4.59905989245879e-06
"DTE.avg","group.time.ATT.ever.adopted",0.933,-4.17074715417624e-05,6.02200944069726e-06
"DTE.avg","TWFE",0.481,0.00112643528289436,1.55204735383069e-06
"DTE.avg","TWFE.ever.adopted",0.164,0.00200894949299568,4.47301587508223e-06
"HTE","group.time.ATT",0.932,-4.95555418864685e-05,3.29117272189599e-06
"HTE","group.time.ATT.ever.adopted",0.91,5.24848999635846e-06,6.93389810671635e-06
"HTE","TWFE",0,0.00297170098421513,9.11419764686657e-06
"HTE","TWFE.ever.adopted",0.02,0.00274260830759085,7.95903813854096e-06
